[ 2025-01-11 04:04:11,970 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-11 04:04:12,002 ] 107 dagshub - INFO - Accessing as munal
[ 2025-01-11 04:04:12,727 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/munal/network-security "HTTP/1.1 200 OK"
[ 2025-01-11 04:04:13,160 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-11 04:04:13,160 ] 107 dagshub - INFO - Initialized MLflow to track repo "munal/network-security"
[ 2025-01-11 04:04:13,160 ] 107 dagshub - INFO - Repository munal/network-security initialized!
[ 2025-01-11 04:04:13,175 ] 20 root - INFO - Initiate the data ingestion
[ 2025-01-11 04:04:20,747 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-11 04:04:20,747 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-11 04:04:20,747 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-11 04:04:20,888 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-11 04:04:20,888 ] 22 root - INFO - Data Initiation Completed
[ 2025-01-11 04:04:20,929 ] 26 root - INFO - Initiate the data Validation
[ 2025-01-11 04:04:20,979 ] 32 root - INFO - Required number of columns:2
[ 2025-01-11 04:04:20,979 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-11 04:04:20,979 ] 32 root - INFO - Required number of columns:2
[ 2025-01-11 04:04:20,979 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-11 04:04:21,277 ] 28 root - INFO - data Validation Completed
[ 2025-01-11 04:04:21,277 ] 31 root - INFO - data Transformation started
[ 2025-01-11 04:04:21,277 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-11 04:04:21,292 ] 65 root - INFO - Starting data transformation
[ 2025-01-11 04:04:21,346 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-11 04:04:21,346 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-11 04:04:21,418 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-11 04:04:21,434 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-11 04:04:21,434 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-11 04:04:21,449 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-11 04:04:21,449 ] 35 root - INFO - data Transformation completed
[ 2025-01-11 04:04:21,449 ] 36 root - INFO - Model Training stared
